survey_item_ID	human_pe	chat_gpt4_pe	baseline_rev
MTE_GER_186	immer meine ehepartnerin partnerin	immer mein ehepartner partner	immer mein ehepartner bzw partner oder meine ehepartnerin bzw partnerin
MTE_GER_187	immer oder normalerweise jemand anderes	immer oder normalerweise jemand anderes	immer oder gewöhnlich jemand anderes
MTE_GER_188	verweigerung	verweigerung	verweigert
MTE_GER_189	weiß nicht	weiß nicht	weiß nicht
MTE_GER_190	hier ist eine liste von dingen die manche leute für wichtig für eine erfolgreiche ehe halten	hier ist eine liste von dingen die manche leute für eine erfolgreiche ehe wichtig finden	hier ist eine liste mit punkten die nach meinung einiger menschen eine erfolgreiche ehe ausmachen
MTE_GER_191	bitte sagen sie mir für jeden aspekt ob sie der meinung sind dass er für eine erfolgreiche ehe sehr wichtig ziemlich wichtig oder nicht sehr wichtig ist	bitte sagen sie mir für jeden punkt ob sie denken dass er für eine erfolgreiche ehe sehr wichtig eher wichtig oder nicht sehr wichtig ist	bitte sagen sie mir zu jedem einzelnen punkt ob dieser ihrer meinung nach für eine erfolgreiche ehe sehr wichtig ist eher wichtig ist oder nicht sehr wichtig ist
MTE_GER_192	jedes item vorlesen	jeden punkt vorlesen	lesen sie jeden punkt vor
MTE_GER_193	treue	treue	treue
MTE_GER_194	ein angemessenes einkommen	ein ausreichendes einkommen	ein angemessenes einkommen
MTE_GER_195	bereit sein die probleme zu diskutieren die zwischen mann und frau auftreten	bereitschaft die probleme zu besprechen die zwischen ehemann und ehefrau auftreten	die bereitschaft über probleme zu sprechen die zwischen ehemann und ehefrau entstehen
MTE_GER_196	sehr	sehr wichtig	sehr wichtig
MTE_GER_197	eher	eher wichtig	eher wichtig
MTE_GER_198	nicht	nicht sehr wichtig	nicht wichtig
MTE_GER_199	verweigerung	verweigerung	verweigert
MTE_GER_200	weiß nicht	weiß nicht	weiß nicht
MTE_GER_201	wie lange haben sie einschließlich ihrer mutterschafts oder elternzeit insgesamt vollzeit zu hause verbracht weil sie sich um ihr kind ihre kinder gekümmert haben	einschließlich aller zeiten die sie im mutterschafts oder elternurlaub verbracht haben wie lange haben sie insgesamt vollzeit zu hause verbracht weil sie sich um ihr kindihre kinder gekümmert haben	wenn sie mutterschutz oder elternzeit berücksichtigen ungefähr wie lange sind sie insgesamt vollzeit zu hause geblieben um sich um ihr kind bzw ihre kinder zu kümmern
MTE_GER_202	bitte antworten sie anhand dieser karte	bitte benutzen sie diese karte	bitte benutzen sie diese liste
MTE_GER_203	keine vollzeit zu hause wegen kindern	keine zeit wegen der kinder vollzeit zu hause verbracht	überhaupt nicht wegen kindern vollzeit zu hause geblieben
MTE_GER_204	bis zu sechs monate	bis zu sechs monate	bis zu sechs monaten
MTE_GER_205	mehr als 6 monate bis zu 12 monate	mehr als 6 monate bis zu 12 monate	mehr als 6 monate bis zu 12 monaten
MTE_GER_206	mehr als ein jahr aber bis zu 2 jahre	mehr als ein jahr aber bis zu 2 jahre	mehr als 1 jahr bis zu 2 jahren
MTE_GER_207	mehr als 2 jahre aber bis zu 4 jahre	mehr als 2 jahre aber bis zu 4 jahre	mehr als 2 jahre bis zu 4 jahren
MTE_GER_208	mehr als 4 jahre aber bis zu 10 jahre	mehr als 4 jahre aber bis zu 10 jahre	mehr als 4 jahre bis zu 10 jahren
MTE_GER_209	mehr als 10 jahre	mehr als 10 jahre	mehr als 10 jahre
MTE_GER_210	verweigerung	verweigerung	verweigert
MTE_GER_211	weiß nicht	weiß nicht	weiß nicht
MTE_GER_212	ich werde jetzt eine liste der arten vorlesen wie sie sich in der letzten woche gefühlt oder verhalten haben könnten	ich werde jetzt eine liste von möglichkeiten vorlesen wie sie sich in der letzten woche gefühlt oder verhalten haben	ich werde ihnen jetzt eine liste mit möglichkeiten vorlesen wie sie sich in der letzten woche möglicherweise gefühlt haben
MTE_GER_213	bitte sagen sie mir anhand dieser karte wie oft sie sich in der letzten woche	bitte sagen sie mir anhand dieser karte wie oft sie in der letzten woche	sagen sie mir bitte anhand dieser liste wie viel der zeit in der letzten woche
MTE_GER_214	vorlesen	vorlesen	vorlesen
MTE_GER_215	sie sich deprimiert gefühlt haben	sich deprimiert gefühlt haben	sie sich deprimiert gefühlt haben
MTE_GER_216	sie das gefühl hatten dass alles was sie getan haben eine anstrengung war	das gefühl hatten dass alles was sie getan haben eine anstrengung war	sie das gefühl hatten dass alles was sie getan haben anstrengend war
MTE_GER_217	vorlesen	vorlesen	vorlesen
MTE_GER_218	nie oder fast nie	keiner oder fast keiner der zeit	keine oder fast keine zeit
MTE_GER_219	manchmal	einen teil der zeit	einen teil der zeit
MTE_GER_220	meistens	die meiste zeit	die meiste zeit
MTE_GER_221	immer oder fast immer	die ganze oder fast die ganze zeit	immer oder fast die ganze zeit
MTE_GER_222	verweigerung	verweigerung	verweigert
MTE_GER_223	weiß nicht	weiß nicht	weiß nicht
MTE_GER_224	bitte sagen sie mir anhand dieser karte inwieweit sie der folgenden aussage zustimmen oder nicht zustimmen	bitte sagen sie mir anhand dieser karte inwieweit sie der folgenden aussage zustimmen oder nicht zustimmen	bitte sagen sie mir anhand dieser liste inwieweit sie der folgenden aussage zustimmen oder nicht zustimmen
MTE_GER_225	an den meisten tagen verspüre ich ein erfolgserlebnis bei dem was ich tue	an den meisten tagen verspüre ich das gefühl durch meine arbeit etwas erreicht zu haben	an den meisten tagen gibt mir das was ich tue ein gefühl der erfüllung
MTE_GER_226	stimme stark zu	stimme stark zu	stimme voll und ganz zu
MTE_GER_227	stimme zu	stimme zu	stimme zu
MTE_GER_228	weder noch	weder zustimmen noch ablehnen	stimme weder zu noch nicht zu
MTE_GER_229	stimme nicht zu	stimme nicht zu	stimme nicht zu
MTE_GER_230	stimme überhaupt nicht zu	stimme stark nicht zu	stimme überhaupt nicht zu
MTE_GER_231	verweigerung	verweigerung	verweigert
MTE_GER_232	weiß nicht	weiß nicht	weiß nicht
MTE_GER_233	ich werde nun eine liste von dingen über ihr arbeitsleben vorlesen	ich werde ihnen eine liste von dingen über ihr arbeitsleben vorlesen	ich werde ihnen jetzt eine liste mit dingen vorlesen die sich auf ihr arbeitsleben beziehen
MTE_GER_234	bitte sagen sie mir anhand dieser karte inwieweit ihnen ihre vorgesetzten ermöglichen	bitte sagen sie mir anhand dieser karte wie sehr das management an ihrem arbeitsplatz ihnen erlaubt	bitte sagen sie mir anhand dieser liste inwieweit ihr arbeitgeber ihnen erlaubt
MTE_GER_235	vorlesen	vorlesen	vorlesen
MTE_GER_236	ihre arbeitszeit flexibel zu gestalten	flexibel in ihrer arbeitszeit zu sein	ihre arbeitszeit flexibel einzuteilen
MTE_GER_237	ihre arbeitsumgebung zu beeinflussen	ihr arbeitsumfeld zu beeinflussen	einfluss auf ihre arbeitsumgebung zu nehmen
MTE_GER_238	ich habe keinen einfluss	ich habe keinen einfluss	ich habe keinen einfluss
MTE_GER_239	ich habe die vollständige kontrolle	ich habe die vollständige kontrolle	ich habe die vollständige kontrolle
MTE_GER_240	verweigerung	verweigerung	verweigert
MTE_GER_241	weiß nicht	weiß nicht	weiß nicht
MTE_GER_242	bitte sagen sie mir anhand dieser karte inwieweit sie der folgenden aussagezustimmen oder nicht zustimmen	bitte sagen sie mir anhand dieser karte inwieweit sie der folgenden aussage zustimmen oder nicht zustimmen	bitte sagen sie mir anhand dieser liste inwieweit sie der folgenden aussage zustimmen oder nicht zustimmen
MTE_GER_243	arbeitnehmer brauchen starke gewerkschaften zum schutz ihrer arbeitsbedingungen und löhne	die arbeitnehmer brauchen starke gewerkschaften um ihre arbeitsbedingungen und löhne zu schützen	beschäftigte brauchen starke gewerkschaften um ihre arbeitsbedingungen und löhne zu schützen
MTE_GER_244	stimme stark zu	stimme stark zu	stimme voll und ganz zu
MTE_GER_245	stimme zu	stimme zu	stimme zu
MTE_GER_246	weder noch	weder zustimmen noch ablehnen	stimme weder zu noch nicht zu
MTE_GER_247	stimme nicht zu	stimme nicht zu	stimme nicht zu
MTE_GER_248	stimme überhaupt nicht zu	stimme stark nicht zu	stimme überhaupt nicht zu
MTE_GER_249	verweigerung	verweigerung	verweigert
MTE_GER_250	weiß nicht	weiß nicht	weiß nicht
MTE_GER_251	welchen beruf üben sie aus	was ist ihr beruf	welchen beruf üben sie aus
MTE_GER_252	eintragen und unten kodieren	bitte schreiben sie ihn auf und codieren sie unten	offene antwort notieren und unten zuordnen
MTE_GER_253	arbeitgeber betriebsleiter mit 10 oder mehr mitarbeitern	arbeitgebermanager eines betriebs mit 10 oder mehr mitarbeitern	arbeitgeberin bzw leiterin eines betriebs oder einer einrichtung mit 10 oder mehr beschäftigten
MTE_GER_254	arbeitgeber betriebsleiter mit weniger als 10 mitarbeitern	arbeitgebermanager eines betriebs mit weniger als 10 mitarbeitern	arbeitgeberin bzw leiterin eines betriebs oder einer einrichtung mit weniger als 10 beschäftigten
MTE_GER_255	fachkraft anwalt buchhalter lehrer usw	fachkraft anwalt buchhalter lehrer usw	angehöriger eines akademischen berufs anwaltanwältin buchhalterin lehrerin usw
MTE_GER_256	kaufmännischer beruf auf mittlerer ebene büroangestellte usw	mittlere nicht manuelle tätigkeit büroangestellter usw	mittlerer angestellter büroarbeiterin usw
MTE_GER_257	kaufmännischer beruf auf junior ebene büroangestellte etc	einfache nicht manuelle tätigkeit büroangestellter usw	einfacher angestellter büroarbeiterin usw
MTE_GER_258	vorarbeiter und vorgesetzter	vorarbeiter und aufseher	vorarbeiterin und aufsichtsperson
MTE_GER_259	qualifizierter arbeiter	facharbeiter	facharbeiterin
MTE_GER_260	angelernter arbeiter	angelernter arbeiter	angelernter arbeiterin
MTE_GER_261	ungelernter arbeiter	ungelernter arbeiter	ungelernter arbeiterin
MTE_GER_262	landwirt arbeitgeber vorgesetzter oder selbständiger	landwirt arbeitgeber manager oder selbständiger	landwirtin arbeitgeberin leiterin oder selbstständiger
MTE_GER_263	landwirschaftlicher arbeiter	landarbeiter	arbeiterin in der landwirtschaft
MTE_GER_264	soldat	mitglied der streitkräfte	armeeangehöriger
MTE_GER_265	hatte nie einen job	nie einen job gehabt	ich hatte noch nie eine arbeit
MTE_GER_266	verweigerung	verweigerung	verweigert
MTE_GER_267	weiß nicht	weiß nicht	weiß nicht
